"Name","Latitude","Longitude"
"Pallikonda","12.905829","78.951686"
"Khuian Malkan","29.863972","74.7614479"
"Eethakota","16.715212","81.82786"
"18th Mile Toll Plaza","25.648871","92.047617"
"Saini Majra","30.196922","76.70574"
"Thana","29.9105","76.50713"
"Thirupuvaithurai","10.885791","78.557668"
"Sikandra","26.944488","76.557567"
"Badauri","26.065386","80.657641"
"Bhojpuri","21.9322781","82.0123636"
"Vanagaram","13.043526","80.149598"
"Rajadhok","26.859184","76.105596"
"Unguturu","16.823733","81.430668"
"Paschim Madeti","26.568913","88.275306"
"Sivaya","29.095601","77.710995"
"Chapirevula","15.460198","78.451697"
"Raksa","25.461841","78.451052"
"Aaini","27.2970385","81.54163"
"Kumhari","21.2523901","81.5348773"
"Manavasi","10.931722","78.218401"
"Gamjal","19.026592","78.362705"
"Gudur","24.766166","73.523999"
"Arjunalli","19.361481","73.165874"
"Niyamatpur","28.814182","78.902248"
"Bilakbarpur","77.600397","77.600397"
"Chhaiju Nagar","28.0989714","77.3639658"
"Valanchettiyur","10.6990089","77.93067"
"Choriyasi","21.303367","72.95418"
"Aliyapur","26.06978","80.163008"
"Jaloli","30.5859671","76.9452524"
"Katoghan","23.888946","80.384704"
"Hariabara","26.152636","87.445216"
"Chagalmarri","14.979577","78.574764"
"Thandikhui","32.6121503","74.9365254"
"Rampura","22.24076","87.39207"
"Raibha","27.164087","77.815004"
"Lakhanpur","18.733529","84.389803"
"Salaipudhur","8.975702","77.774608"
"Guna Bypass","24.620413","77.26147"
"SHIRPUR","21.319733","74.889272"
"Kherwasaani","24.1222993","80.5994996"
"Lakholi","21.20296","81.905328"
"Yedeshi","18.3074605","75.9890916"
"Sonvarsa","24.3958789","81.8018503"
"Thakurtola","21.117914","81.122298"
"Aroli Vil","25.091152","75.198814"
"Rolmamda","19.28019","78.409222"
"Attibele Grade section Toll Plaz","12.776883","77.777119"
"Anand","22.594556","72.981298"
"Nimbiya ki Dhani (bayatu)","25.865575","71.6305593"
"Khadda","24.522264","81.365223"
"Raha","26.245792","92.54147"
"Tatiyawas","27.089775","75.7415"
"Bakoli","23.780081","79.464333"
"Mehra","26.197589","78.240691"
"Lal ka Khera","25.482404","75.31341"
"Pahammawiein","25.992753","91.860387"
"Mada Nasri","33.1304683","75.2941524"
"Bhiladi","24.143877","71.977151"
"Poonarimangalam","10.010715","76.257992"
"Ghangari","24.030088","85.948654"
"Hoskote","13.059436","77.770734"
"Brijghat","28.767149","78.110043"
"Sullurpet","13.744936","79.990993"
"Raaviguntapalli","15.2253","79.4592"
"Narmada Bridge","21.7016001","73.0609234"
"Mashora","19.62327","81.667297"
"Aihar","26.198251","81.032982"
"Electronic City Elevated: 1) Ban","12.84615","77.671765"
"chalakwadi","19.1706232","74.0737918"
"Chandimandir Toll Plaza","30.738834","76.897977"
"Gharonda Toll Plaza","29.582281","76.978398"
"&T PANIPAT","29.433664","76.97014"
"Mandawada","25.20385","73.814701"
"Sergarh","21.429889","86.836645"
"Raje","26.225144","86.150263"
"Madapam","18.377344","84.000528"
"Narwana","29.5781487","76.0887316"
"Jojro Ka Kheda","25.082922","74.624379"
"Ahmedabad","22.975793","72.650335"
"Kappalur","9.844294","78.011209"
"Khalghat Toll Plaza","22.173782","75.456797"
"Kumbalam","9.895245","76.313541"
"Maithi","26.112648","85.564827"
"Tendua","26.724015","83.274398"
"Kathpura","23.410181","72.828618"
"Lambia","25.5871683","74.593839"
"Varwade","17.957556","75.330977"
"Nathakarai","11.592809","78.780812"
"Mulbagal","13.148469","78.290548"
"Morani/ Pokaran","26.891524","71.952354"
"Sonho","25.924418","84.967832"
"Majhgawan","23.869976","80.350801"
"Amreha","28.904559","78.46782"
"Chollang Toll Plaza","31.624658","75.640296"
"Bhagomajra","30.760763","76.607911"
"Dhareri Jattan","30.3912006","76.4995253"
"Kalajhar","30.2660156","76.1468553"
"Waryam Nangal Toll Plaza","31.731947","75.041365"
"Harsa Mansar Toll Plaza","32.061586","75.614373"
"Ladpalwan","32.197881","75.533697"
"Chiddan","31.617167","74.692378"
"Chak Bamniya","31.0241526","75.3044463"
"Bachhwan (Bachhuan)","31.0114039","76.389817"
"Ghulal","30.845116","76.142999"
"Mikirati Hawgaon Toll Plaza","26.131342","92.836207"
"Kachkoot","33.874607","75.043232"
"Lehrabega","30.2331306","75.1018423"
"Behram","31.204433","75.876799"
"KM 14.550 of NH 60 A Bankura","23.3898458","88.8743501"
"Km. 288:00 Near Hintal vill","15.323649","76.303646"
"Dhaneshwar Vil.","25.07255","75.598475"
"Nagpur Byepass Check TP","20.2299353","79.0131934"
"Valavanthankottai","10.744371","78.834044"
"Dattigaon","22.741519","74.836537"
"Shiroor","13.9333649","74.5965095"
"Varahi","23.791235","71.427581"
"Pattarai","13.150829","79.834687"
"Mandal/Vyara","21.134892","73.478457"
"Asroga","26.301062","81.9459196"
"Phoop (Barahi) KM 105.300","26.683184","78.917895"
"Pithadiya","22.912793","72.957362"
"Ponamballapatti","10.536356","78.257059"
"Doll","26.062801","72.6727601"
"Karanja","21.1393821","79.6750986"
"Shobhasar","27.7758351","74.712975"
"Durgamvaripalli","21.214518","81.287962"
"Runni","26.373555","85.493897"
"Simliya / Baran","25.170089","76.130552"
"Rajapur Maksudan/Soraon","18.8377812","73.8800121"
"Vavadikhurd","22.792571","73.533274"
"Anewadi","17.810312","73.971381"
"Palsit","23.178722","88.026395"
"Pipli","20.1370835","85.8382113"
"Mangalgi","17.7454925","77.3171313"
"Badopatti","29.2997674","75.8188291"
"Vanana","21.664929","69.709536"
"Bollapalli","15.886754","80.070843"
"Raipur","26.063612","74.059477"
"Vaghasia","22.42301","71.088805"
"Pagara Toll Plaza","24.5069819","77.1860753"
"Manoharabad","17.801103","78.471683"
"Saidpur Patheda","25.8028125","85.2823813"
"IDTL Toll Plaza-B","22.959586","76.084165"
"Gollaprolu","17.139122","82.271843"
"Mahasamundaram","13.194889","79.017469"
"Khandi Obri","23.993636","73.627895"
"Surathkal","13.013341","74.792875"
"Sasthan (Gundmi)Km 300.480","13.476043","74.7127896"
"Thirumandurai","11.396808","78.99356"
"Korai","27.114895","77.715981"
"Taswade","17.365756","74.122928"
"Duhai","28.737468","77.477137"
"Ronahi","26.767878","81.949556"
"Gegal","26.551347","74.780202"
"Pallai","25.884209","75.958515"
"Kamkole","17.6457252","77.8198176"
"Budnam","14.059589","79.894624"
"Chapraitha","26.0265755","84.4909225"
"Musunur","14.851945","79.987847"
"Khemana","24.241335","72.462709"
"Chilakapalem","13.7881724","79.5894634"
"Badaiyiguda","19.0943413","81.9482756"
"Dasna","28.687737","77.535805"
"Samakhiyali","23.308555","70.49059"
"Indranagar","25.829753","73.459836"
"Sardewadi","18.096508","75.0661222"
"Mekalavaripalli","15.6675","79.3518"
"Mathni","21.139545","79.365105"
"Choundha","26.468079","78.010109"
"Badewadi","19.17339806","75.34242027"
"Sonway","22.6118196","75.7764414"
"Kheda","22.715938","72.740905"
"Panchvati colony","17.7130381","83.2079988"
"Surajbari","23.233738","70.689457"
"Nathavalasa","18.057967","83.521081"
"Makrauli Kalan Toll Plaza","28.944307","76.609736"
"Samayapuram","10.92937","78.744056"
"Joya","28.836176","78.420749"
"Madal","22.553803","79.115999"
"Kot karor kalan.","30.8263476","74.9165723"
"Bor Charman","25.1018238","71.5596583"
"Badbar","30.2476529","75.6396108"
"Sehatganj","24.0759093","77.3715152"
"Bagalur","9.3982896","78.7128969"
"Brahmanapalli","14.7359233","79.0492478"
"Maujpur","28.284826","77.43934"
"Ladowal Toll Plaza","30.988606","75.790611"
"Mujras","25.648871","92.047617"
"Hathitala","25.5646786","71.4078461"
"Undvariya Distt Sirohi","24.633564","72.907054"
"Tamdoli","26.9052967","75.8851086"
"Patanswangi","21.343756","79.009054"
"Khairabad near Karondi","27.558744","80.661034"
"Nimbasar","26.1512284","71.2802787"
"Guilalu","14.053778","76.560573"
"Rapur","14.1445","79.3209"
"Mokha","22.934663","69.801655"
"Patas","18.424491","74.466193"
"tangatur","15.358166","80.040105"
"Aindhi","26.2456526","81.5938784"
"Daffi","25.248275","82.994017"
"Millampalli","24.141624","80.598675"
"Amoli","27.101301","77.090874"
"Kondar","26.5372312","77.086002"
"Pundag","23.542861","85.502734"
"Makhel","23.490455","70.942639"
"Usma","31.37004","74.9525751"
"Navasari","23.797494","86.430301"
"Birami","25.371114","73.201486"
"Chandwad toll plaza","20.325219","74.210736"
"Nazirakhet","26.121161","91.938698"
"Harwal","17.021227","76.6828832"
"Etturvattum","9.385445","77.914347"
"JATL Dhilwan Toll Plaza","31.499318","75.323065"
"Ludhwai","27.178509","77.416845"
"Ram devra","27.025063","71.946276"
"Nallur","13.216958","80.169353"
"Kota Bypass/Sakatpur Nayagac","25.132814","75.796857"
"JATL Nijjerpura Toll Plaza","31.577704","74.997072"
"Mundiyar","25.208633","77.136056"
"Phulwadi","17.7991202","76.1933353"
